01      -66.6688889629654398
02      -44.4492594475262592
03      -29.6378399336731633
04      -19.7660607244950697
05      -13.1886260320257005
06       -8.8092992421240535
07       -5.8982008504053294
08       -3.9701746654566108
09       -2.7039652798163818
10       -1.8887531503436568
11       -1.3889510079148151
12       -1.1193786717951708
13       -1.0167292368239793
14       -1.0004040357696271
15       -1.0000002446367255
16       -1.0000000000000897
17       -1.0000000000000000
18       -1.0000000000000000
