00    0.4660000000000000D+00
01   -0.5806909896365329D+00
02   -0.3374270032496715D+02
03   -0.2250172126518794D+02
04   -0.1501102980369526D+02
05   -0.1002217906362231D+02
06   -0.6703699581958166D+01
07   -0.4502529963357109D+01
08   -0.3051866691261851D+01
09   -0.2110095671348811D+01
10   -0.1520566512268164D+01
11   -0.1184473852433121D+01
12   -0.1035727530191506D+01
13   -0.1001767463773714D+01
14   -0.1000004666647459D+01
15   -0.1000000000032666D+01
16   -0.1000000000000000D+01
17   -0.1000000000000000D+01
