00    0.5770000000000000D+00
01   -0.3167354212695453D+03
02   -0.2111576491174157D+03
03   -0.1407728184857295D+03
04   -0.9385012427128164D+02
05   -0.6256911744533625D+02
06   -0.4171629689387070D+02
07   -0.2781619260468091D+02
08   -0.1855212079811404D+02
09   -0.1238007040921915D+02
10   -0.8271369393378420D+01
11   -0.5541244238127444D+01
12   -0.3734706266877343D+01
13   -0.2550762911809878D+01
14   -0.1792332821016902D+01
15   -0.1333227929977174D+01
16   -0.1093970528310421D+01
17   -0.1010867786920635D+01
18   -0.1000172782857423D+01
19   -0.1000000044762827D+01
20   -0.1000000000000003D+01
21   -0.1000000000000000D+01
22   -0.1000000000000000D+01
