00    0.1000000000000000D+03
01    0.6666888896296544D+02
02    0.4444925944752626D+02
03    0.2963783993367316D+02
04    0.1976606072449507D+02
05    0.1318862603202570D+02
06    0.8809299242124053D+01
07    0.5898200850405329D+01
08    0.3970174665456611D+01
09    0.2703965279816382D+01
10    0.1888753150343657D+01
11    0.1388951007914815D+01
12    0.1119378671795171D+01
13    0.1016729236823979D+01
14    0.1000404035769627D+01
15    0.1000000244636726D+01
16    0.1000000000000090D+01
17    0.1000000000000000D+01
18    0.1000000000000000D+01
