  0.0000000000000000D+00 -0.9489846193555862D+00
  0.5000000000000000D+00 -0.6816387600233341D+00
  0.1000000000000000D+01 -0.2474039592545229D+00
  0.1500000000000000D+01  0.2474039592545229D+00
  0.2000000000000000D+01  0.6816387600233341D+00
  0.2500000000000000D+01  0.9489846193555862D+00
  0.3000000000000000D+01  0.9839859468739369D+00
  0.3500000000000000D+01  0.7780731968879212D+00
  0.4000000000000000D+01  0.3816609920523317D+00
  0.4500000000000000D+01 -0.1081951345301084D+00
  0.5000000000000000D+01 -0.5715613187423437D+00
  0.5500000000000000D+01 -0.8949893582285835D+00
  0.6000000000000000D+01 -0.9992927889753780D+00
  0.6500000000000000D+01 -0.8589344934265920D+00
  0.7000000000000000D+01 -0.5082790774992584D+00
  0.7500000000000000D+01 -0.3317921654755682D-01
  0.8000000000000000D+01  0.4500440737806176D+00
  0.8500000000000000D+01  0.8230808790115055D+00
  0.9000000000000000D+01  0.9945987791111761D+00
  0.9500000000000000D+01  0.9226042102393402D+00
  0.1000000000000000D+02  0.6247239537541924D+00
  0.1050000000000000D+02  0.1738894853804336D+00
  0.1100000000000000D+02 -0.3195191936222737D+00
  0.1150000000000000D+02 -0.7346984304047954D+00
  0.1200000000000000D+02 -0.9699978679206785D+00
  0.1250000000000000D+02 -0.9678079975112615D+00
  0.1300000000000000D+02 -0.7286649758271700D+00
  0.1350000000000000D+02 -0.3111193549811273D+00
  0.1400000000000000D+02  0.1825991346311340D+00
  0.1450000000000000D+02  0.6316109877182386D+00
  0.1500000000000000D+02  0.9259824428086272D+00
  0.1550000000000000D+02  0.9936411011327626D+00
  0.1600000000000000D+02  0.8180217634546941D+00
  0.1650000000000000D+02  0.4421221685765394D+00
  0.1700000000000000D+02 -0.4202435271884079D-01
  0.1750000000000000D+02 -0.5158818468181093D+00
  0.1800000000000000D+02 -0.8634334728079056D+00
  0.1850000000000000D+02 -0.9995864713592172D+00
  0.1900000000000000D+02 -0.8910058399248534D+00
  0.1950000000000000D+02 -0.5642759039618552D+00
  0.2000000000000000D+02 -0.9939154689884817D-01
  0.2050000000000000D+02  0.3898273272463786D+00
  0.2100000000000000D+02  0.7836028759783554D+00
  0.2150000000000000D+02  0.9855251115651197D+00
  0.2200000000000000D+02  0.9461564284508708D+00
  0.2250000000000000D+02  0.6751356532928010D+00
  0.2300000000000000D+02  0.2388181240295827D+00
  0.2350000000000000D+02 -0.2559704110693330D+00
  0.2400000000000000D+02 -0.6880884622582970D+00
  0.2450000000000000D+02 -0.9517384599623535D+00
  0.2500000000000000D+02 -0.9823696896284233D+00
  0.2550000000000000D+02 -0.7724825579327705D+00
  0.2600000000000000D+02 -0.3734647547841147D+00
  0.2650000000000000D+02  0.1169902453743640D+00
  0.2700000000000000D+02  0.5788019532877502D+00
  0.2750000000000000D+02  0.8989027566124672D+00
  0.2800000000000000D+02  0.9989208147888241D+00
  0.2850000000000000D+02  0.8543682189235223D+00
  0.2900000000000000D+02  0.5006364859324151D+00
  0.2950000000000000D+02  0.2433148087720227D-01
  0.3000000000000000D+02 -0.4579307192868114D+00
  0.3050000000000000D+02 -0.8280755084772445D+00
  0.3100000000000000D+02 -0.9954785330494551D+00
  0.3150000000000000D+02 -0.9191536942035773D+00
  0.3200000000000000D+02 -0.6177879744108959D+00
  0.3250000000000000D+02 -0.1651662123735790D+00
  0.3300000000000000D+02  0.3278939988258263D+00
  0.3350000000000000D+02  0.7406743234096740D+00
  0.3400000000000000D+02  0.9721117417027341D+00
  0.3450000000000000D+02  0.9655423020447212D+00
  0.3500000000000000D+02  0.7225744323811351D+00
  0.3550000000000000D+02  0.3026951410063154D+00
  0.3600000000000000D+02 -0.1912944777489552D+00
  0.3650000000000000D+02 -0.6384485367231334D+00
  0.3700000000000000D+02 -0.9292881272363391D+00
  0.3750000000000000D+02 -0.9926055741456128D+00
  0.3800000000000000D+02 -0.8128985581744033D+00
  0.3850000000000000D+02 -0.4341656243337532D+00
  0.3900000000000000D+02  0.5086619639930669D-01
  0.3950000000000000D+02  0.5234441982331980D+00
  0.4000000000000000D+02  0.8678648045849774D+00
  0.4050000000000000D+02  0.9998018389311463D+00
  0.4100000000000000D+02  0.8869525137988248D+00
  0.4150000000000000D+02  0.5569462797382114D+00
  0.4200000000000000D+02  0.9058017221711874D-01
  0.4250000000000000D+02 -0.3979631205566710D+00
  0.4300000000000000D+02 -0.7890711619691400D+00
  0.4350000000000000D+02 -0.9869870631127111D+00
  0.4400000000000000D+02 -0.9432541088290760D+00
  0.4450000000000000D+02 -0.6685796515669709D+00
  0.4500000000000000D+02 -0.2302135780707541D+00
  0.4550000000000000D+02  0.2645168083164075D+00
  0.4600000000000000D+02  0.6944842546815092D+00
  0.4650000000000000D+02  0.9544177345154423D+00
  0.4700000000000000D+02  0.9806764664578257D+00
  0.4750000000000000D+02  0.7668313971238714D+00
  0.4800000000000000D+02  0.3652392575940560D+00
  0.4850000000000000D+02 -0.1257761903592125D+00
  0.4900000000000000D+02 -0.5859972403145539D+00
  0.4950000000000000D+02 -0.9027457284726566D+00
  0.5000000000000000D+02 -0.9984705779426957D+00
  0.5050000000000000D+02 -0.8497350070535673D+00
  0.5100000000000000D+02 -0.4929546708933114D+00
  0.5150000000000000D+02 -0.1548183890318817D-01
  0.5200000000000000D+02  0.4657814871984435D+00
  0.5250000000000000D+02  0.8330052605366240D+00
  0.5300000000000000D+02  0.9962802940213323D+00
  0.5350000000000000D+02  0.9156311650396451D+00
  0.5400000000000000D+02  0.6108035931029845D+00
  0.5450000000000000D+02  0.1564299990546788D+00
  0.5500000000000000D+02 -0.3362431144491573D+00
  0.5550000000000000D+02 -0.7465921866472573D+00
  0.5600000000000000D+02 -0.9741494532413135D+00
  0.5650000000000000D+02 -0.9632009590319782D+00
  0.5700000000000000D+02 -0.7164272772437812D+00
  0.5750000000000000D+02 -0.2942472117115055D+00
  0.5800000000000000D+02  0.1999748334780175D+00
  0.5850000000000000D+02  0.6452360650659840D+00
  0.5900000000000000D+02  0.9325210045313215D+00
  0.5950000000000000D+02  0.9914922792803779D+00
  0.6000000000000000D+02  0.8077116645594764D+00
  0.6050000000000000D+02  0.4261750644253074D+00
  0.6100000000000000D+02 -0.5970405485516448D-01
  0.6150000000000000D+02 -0.5309655392553846D+00
  0.6200000000000000D+02 -0.8722281415753229D+00
  0.6250000000000000D+02 -0.9999388748177166D+00
  0.6300000000000000D+02 -0.8828296974172939D+00
  0.6350000000000000D+02 -0.5495730203270262D+00
  0.6400000000000000D+02 -0.8176170083154903D-01
  0.6450000000000000D+02  0.4060677345664961D+00
  0.6500000000000000D+02  0.7944776264353201D+00
  0.6550000000000000D+02  0.9883716869768853D+00
  0.6600000000000000D+02  0.9402778878788489D+00
  0.6650000000000000D+02  0.6619712684902925D+00
  0.6700000000000000D+02  0.2215909955202124D+00
  0.6750000000000000D+02 -0.2730424814093603D+00
  0.6800000000000000D+02 -0.7008256362004742D+00
  0.6850000000000000D+02 -0.9570222331011646D+00
  0.6900000000000000D+02 -0.9789064100214568D+00
  0.6950000000000000D+02 -0.7611201572139107D+00
  0.7000000000000000D+02 -0.3569851449269173D+00
  0.7050000000000000D+02  0.1345522811303706D+00
  0.7100000000000000D+02  0.5931466160920859D+00
  0.7150000000000000D+02  0.9065179727230256D+00
  0.7200000000000000D+02  0.9979421137117938D+00
  0.7250000000000000D+02  0.8450352208159536D+00
  0.7300000000000000D+02  0.4852342342307290D+00
  0.7350000000000000D+02  0.6630983970279104D-02
  0.7400000000000000D+02 -0.4735957624297459D+00
  0.7450000000000000D+02 -0.8378697489573207D+00
  0.7500000000000000D+02 -0.9970039992110719D+00
  0.7550000000000000D+02 -0.9120368987278785D+00
  0.7600000000000000D+02 -0.6037713570372523D+00
  0.7650000000000000D+02 -0.1476815298816789D+00
  0.7700000000000000D+02  0.3445658863623454D+00
  0.7750000000000000D+02  0.7524515564694672D+00
  0.7800000000000000D+02  0.9761108428874015D+00
  0.7850000000000000D+02  0.9607841519107266D+00
  0.7900000000000000D+02  0.7102239920275675D+00
  0.7950000000000000D+02  0.2857762289683941D+00
  0.8000000000000000D+02 -0.2086395217366614D+00
  0.8050000000000000D+02 -0.6519730409628770D+00
  0.8100000000000000D+02 -0.9356808214066555D+00
  0.8150000000000000D+02 -0.9903013037606052D+00
  0.8200000000000000D+02 -0.8024614889885606D+00
  0.8250000000000000D+02 -0.4181511148892831D+00
  0.8300000000000000D+02  0.6853723566485535D-01
  0.8350000000000000D+02  0.5384452806085791D+00
  0.8400000000000000D+02  0.8765231419236595D+00
  0.8450000000000000D+02  0.9999975682825487D+00
  0.8500000000000000D+02  0.8786377137914245D+00
  0.8550000000000000D+02  0.5421567034026080D+00
  0.8600000000000000D+02  0.7293682364477497D-01
  0.8650000000000000D+02 -0.4141405343019522D+00
  0.8700000000000000D+02 -0.7998218457954850D+00
  0.8750000000000000D+02 -0.9896788746762244D+00
  0.8800000000000000D+02 -0.9372279987787994D+00
  0.8850000000000000D+02 -0.6553110218111473D+00
  0.8900000000000000D+02 -0.2129510519332497D+00
  0.8950000000000000D+02  0.2815467623854851D+00
  0.9000000000000000D+02  0.7071121099856378D+00
  0.9050000000000000D+02  0.9595517516643209D+00
  0.9100000000000000D+02  0.9770596589983012D+00
  0.9150000000000000D+02  0.7553492856626053D+00
  0.9200000000000000D+02  0.3487030634694030D+00
  0.9250000000000000D+02 -0.1433178301056054D+00
  0.9300000000000000D+02 -0.6002495204866958D+00
  0.9350000000000000D+02 -0.9102191938187590D+00
  0.9400000000000000D+02 -0.9973354634998167D+00
  0.9450000000000000D+02 -0.8402692284258240D+00
